dataset,exp_name,seed,rollout_time,scores,returns,first_value,first_search_value,discount_return,prediction_error,step
hopper-medium-expert-v2,lfq_K512_zdim9,2,13,111.35199418136135,3603.758858691798,247.30172729492188,293.0149841308594,270.0100089551948,0.03523722493240185,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,14,111.86201934997821,3620.3579965781323,248.6825408935547,290.5544738769531,268.14886038883344,0.04061117989482515,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,15,111.09927002282927,3595.533768220169,251.05364990234375,291.5456237792969,269.47753449788087,0.025590581102298577,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,16,111.66921221399593,3614.082948928389,250.72683715820312,291.77008056640625,269.8464477758174,0.04281203447775586,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,17,111.91145511410055,3621.9669192660226,250.05960083007812,292.9842834472656,267.9898333921288,0.03535503355880448,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,18,41.87887127095025,1342.7058410309485,249.26087951660156,289.766845703125,231.05123775458287,0.018998736142585234,424
hopper-medium-expert-v2,lfq_K512_zdim9,2,19,111.08854289967735,3595.1846462409435,272.210205078125,291.6380310058594,267.57408756189386,0.04989687180652983,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,20,112.06944137477153,3627.1086963515254,247.70675659179688,291.88037109375,271.3473086826242,0.04043370996810494,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,1,112.42385082464781,3638.643208153502,265.2938537597656,295.58746337890625,268.4061931263044,0.030904893998273692,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,2,112.01500131864623,3625.3369053620454,267.2244567871094,294.2546081542969,267.9173203540067,0.026549359902407813,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,3,112.04929106918011,3626.4528900863743,265.4464416503906,294.578125,268.6964403908882,0.027183345840846734,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,4,111.91508093314143,3622.0849241683563,270.1815185546875,295.7846374511719,269.3522797912083,0.03650249974709622,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,5,111.98672829477643,3624.4167393573925,271.1583557128906,294.0841369628906,268.3673011657114,0.9968768333330175,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,6,112.56844690660309,3643.3491921909335,268.2226257324219,295.40264892578125,271.11264397744,0.03919485141340571,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,7,112.52496987330369,3641.9342007061355,268.0639343261719,294.8440856933594,268.7376369363469,0.053412862357661094,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,8,111.94552086214766,3623.0756136674554,266.06976318359375,295.5459289550781,270.57299934055345,0.02044410521945597,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,9,112.562423999311,3643.1531723182497,265.4450378417969,295.6961669921875,271.2064838999018,0.8348145107626324,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,10,112.3775969358344,3637.1378418981953,266.0465087890625,296.82684326171875,269.222949641142,0.021399750878773646,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,11,112.1456397093107,3629.5886262443087,265.0631103515625,295.2497863769531,264.2189944176488,0.05972827634391026,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,12,111.81971506667871,3618.981173090038,267.61737060546875,295.0619812011719,268.0724851126261,0.04867897114198121,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,13,112.56258660827183,3643.158464544454,266.7177429199219,294.2937927246094,267.7503157920374,0.2129837904683968,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,14,112.22265600235876,3632.0951771881887,264.5997009277344,295.78558349609375,268.46770102868595,0.025669574578615902,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,15,112.0185127871052,3625.4511886420096,270.1412658691406,295.2626037597656,268.31348277100483,0.033844334231131215,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,16,112.29359695419909,3634.4040017596876,263.7369689941406,297.153076171875,267.8849255146229,0.2844938456623096,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,17,113.86496343835024,3685.5452601629227,270.1166687011719,295.3153076171875,270.051403895307,0.04269948390026702,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,18,112.25308031139187,3633.085358323968,265.03668212890625,295.32281494140625,268.2486521963048,0.49057879387940545,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,19,112.41114516789477,3638.229693367649,266.54412841796875,295.24786376953125,268.8463853453554,0.024709955431745218,999
hopper-medium-expert-v2,lfq_K512_zdim9,3,20,112.24290395522245,3632.7541614544193,264.88043212890625,295.8793029785156,270.4005097199345,0.028266411868221125,999
hopper-medium-expert-v2,lfq_K512_zdim9,4,1,112.33917017394592,3635.8872151480646,270.625732421875,294.4996032714844,271.00709576295344,0.04073248666855376,999
hopper-medium-expert-v2,lfq_K512_zdim9,4,2,74.17879853368554,2393.930328259076,267.1134033203125,294.8963928222656,269.1576314562553,0.05569237555129321,624
hopper-medium-expert-v2,lfq_K512_zdim9,4,3,111.83849435064266,3619.592358465006,268.1864013671875,294.9548034667969,269.05084532510705,0.03148789683934831,999
hopper-medium-expert-v2,lfq_K512_zdim9,4,4,112.37672075382355,3637.1093259211284,268.60125732421875,294.72857666015625,269.11982978977636,0.020765170469197593,999
hopper-medium-expert-v2,lfq_K512_zdim9,4,5,111.26985565252288,3601.0856008804867,267.6770324707031,295.8619384765625,267.9700330260119,0.04674085164695299,999
hopper-medium-expert-v2,lfq_K512_zdim9,4,6,111.59333665973527,3611.6135241531565,269.0888366699219,295.73876953125,269.7707005830082,0.04512690368376985,999
hopper-medium-expert-v2,lfq_K512_zdim9,4,7,113.7222022631067,3680.898994491154,268.7855529785156,294.4383239746094,270.31629771534097,0.031802970757136104,999
hopper-medium-expert-v2,lfq_K512_zdim9,4,8,112.49769268097074,3641.046444758886,268.8334655761719,293.6302795410156,269.2919894303534,0.03361747406391051,999
